chain,contract_address,hardcoded_manager,ever_drained_by_mgr,ever_blacklisted_by_mgr,notes
polygon,0x2d92f6113ad7369394f5a4a2b92e0962eccf634e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2dd293e140f16a9c3ccbfb831c56f188f85fcb5d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2dd3fab9446d2bc02b8190fab4b94b294e0ddfd3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2de6c4a32d280e0b701ee52522b1c096b84f9272,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2e855943c6e1c8d58dc40ed3725e0599ce592761,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2ed739d2ab4b3bc98cc8dd13de074350df9f8669,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2f8888756755bc4043f6fb93224038d90f88e924,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2f9393f564574db864f38081d21fd1b0c91ef30e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2fbfd49641ef3777e68be027cd861c92e05272ca,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x300389d70729f0aae9ee9335d3643182d3d6c296,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x312081b14d1dc8f24213d7885bccddf22d50db9e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3180b351f81df8dca13497294adc6fd361615351,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x31c20bec9e2eff2668987dc777b7bb0a1eb3f2b2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x31f8958f68d8ff07765c2f68d1e493c9c1a4b0e4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x32061915b849860ca822be64c860e994e85c38e7,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x32139cb68b40b772795ac6b760fc1e6108633c70,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3269fffb315295a4465679c80a329045b83039b0,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x32a2d308b343fb2785f0ee04d0b3a4d93e02d0d6,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x34f310a130bc3575694b5cd2d61bafd15ac8d5f7,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x3516c7a026023c53394373bd5ae76ed735810c0e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3584da048bfbb7eef0a44bffc690b0567ea6a1e9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x35b701614e3297f8d415b82683a8bc4cce3786a6,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x35c9e86e60f19937fe518033100d53b97d87969d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x35d291552484d2bf96b2d340407ae26d2adf8142,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3617951cd6f54356a3311812a02d93319343ab08,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x365adea6b2f7bf2fd520c5d475facc8bac4590ba,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x365c5f41b9fa428e87d08830f6c6e1aaefc0312c,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
